trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
17187,01:15:00,01:15:00,3958,1,0,0
17187,01:45:00,01:45:00,3959,2,0,0
17187,02:00:00,02:00:00,3960,3,0,0
17187,02:45:00,02:45:00,3961,4,0,0
17187,03:10:00,03:25:00,3962,5,0,0
17187,03:45:00,03:45:00,3963,6,0,0
17187,04:05:00,04:05:00,3964,7,0,0
17187,04:25:00,04:25:00,3965,8,0,0
17187,05:10:00,05:20:00,3966,9,0,0
17187,06:05:00,06:05:00,3967,10,0,0
17187,06:35:00,06:35:00,3968,11,0,0
17187,07:05:00,07:15:00,3969,12,0,0
17187,07:30:00,07:30:00,3970,13,0,0
17187,07:45:00,07:45:00,3971,14,0,0
17188,16:40:00,16:40:00,3971,1,0,0
17188,16:50:00,16:50:00,3970,2,0,0
17188,17:15:00,17:25:00,3969,3,0,0
17188,17:55:00,17:55:00,3968,4,0,0
17188,18:35:00,18:35:00,3967,5,0,0
17188,19:20:00,19:30:00,3966,6,0,0
17188,20:15:00,20:15:00,3965,7,0,0
17188,20:35:00,20:35:00,3964,8,0,0
17188,20:55:00,20:55:00,3963,9,0,0
17188,21:15:00,21:30:00,3962,10,0,0
17188,21:55:00,21:55:00,3961,11,0,0
17188,22:40:00,22:40:00,3960,12,0,0
17188,22:55:00,22:55:00,3959,13,0,0
17188,23:25:00,23:25:00,3958,14,0,0
