trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1367404_b_29741_tn_1,06:51:00,06:51:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,06:52:00,06:52:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,06:55:00,06:55:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,06:57:00,06:57:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,06:59:00,06:59:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:01:00,07:01:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:03:00,07:03:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:05:00,07:05:00,2574494,8,,0,0,2327.13178973831,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:09:00,07:09:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:11:00,07:11:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:12:00,07:12:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:15:00,07:15:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:18:00,07:18:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:21:00,07:21:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:23:00,07:23:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_1,07:24:00,07:24:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_10,11:48:00,11:48:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_10,11:49:00,11:49:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_10,11:52:00,11:52:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_10,11:54:00,11:54:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_10,11:56:00,11:56:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
