trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
2W-ob_T01,07:30:00,07:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T01,07:31:00,07:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T01,07:32:00,07:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T01,07:33:00,07:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T01,07:34:00,07:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T01,07:35:00,07:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T01,07:36:00,07:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T01,07:37:00,07:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T01,07:37:00,07:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T01,07:39:00,07:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T01,07:42:00,07:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T01,07:42:00,07:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T01,07:45:00,07:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T01,07:46:00,07:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T01,07:49:00,07:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T01,07:50:00,07:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T02,08:30:00,08:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T02,08:31:00,08:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T02,08:32:00,08:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T02,08:33:00,08:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T02,08:34:00,08:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T02,08:35:00,08:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T02,08:36:00,08:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T02,08:37:00,08:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T02,08:37:00,08:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T02,08:39:00,08:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T02,08:42:00,08:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T02,08:42:00,08:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T02,08:45:00,08:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T02,08:46:00,08:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T02,08:49:00,08:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T02,08:50:00,08:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T03,09:30:00,09:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T03,09:31:00,09:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T03,09:32:00,09:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T03,09:33:00,09:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T03,09:34:00,09:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T03,09:35:00,09:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T03,09:36:00,09:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T03,09:37:00,09:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T03,09:37:00,09:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T03,09:39:00,09:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T03,09:42:00,09:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T03,09:42:00,09:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T03,09:45:00,09:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T03,09:46:00,09:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T03,09:49:00,09:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T03,09:50:00,09:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T04,10:30:00,10:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T04,10:31:00,10:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T04,10:32:00,10:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T04,10:33:00,10:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T04,10:34:00,10:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T04,10:35:00,10:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T04,10:36:00,10:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T04,10:37:00,10:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T04,10:37:00,10:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T04,10:39:00,10:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T04,10:42:00,10:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T04,10:42:00,10:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T04,10:45:00,10:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T04,10:46:00,10:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T04,10:49:00,10:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T04,10:50:00,10:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T05,11:30:00,11:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T05,11:31:00,11:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T05,11:32:00,11:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T05,11:33:00,11:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T05,11:34:00,11:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T05,11:35:00,11:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T05,11:36:00,11:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T05,11:37:00,11:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T05,11:37:00,11:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T05,11:39:00,11:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T05,11:42:00,11:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T05,11:42:00,11:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T05,11:45:00,11:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T05,11:46:00,11:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T05,11:49:00,11:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T05,11:50:00,11:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T06,12:30:00,12:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T06,12:31:00,12:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T06,12:32:00,12:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T06,12:33:00,12:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T06,12:34:00,12:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T06,12:35:00,12:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T06,12:36:00,12:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T06,12:37:00,12:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T06,12:37:00,12:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T06,12:39:00,12:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T06,12:42:00,12:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T06,12:42:00,12:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T06,12:45:00,12:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T06,12:46:00,12:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T06,12:49:00,12:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T06,12:50:00,12:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T07,13:30:00,13:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T07,13:31:00,13:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T07,13:32:00,13:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T07,13:33:00,13:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T07,13:34:00,13:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T07,13:35:00,13:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T07,13:36:00,13:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T07,13:37:00,13:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T07,13:37:00,13:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T07,13:39:00,13:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T07,13:42:00,13:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T07,13:42:00,13:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T07,13:45:00,13:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T07,13:46:00,13:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T07,13:49:00,13:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T07,13:50:00,13:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T08,14:30:00,14:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T08,14:31:00,14:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T08,14:32:00,14:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T08,14:33:00,14:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T08,14:34:00,14:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T08,14:35:00,14:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T08,14:36:00,14:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T08,14:37:00,14:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T08,14:37:00,14:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T08,14:39:00,14:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T08,14:42:00,14:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T08,14:42:00,14:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T08,14:45:00,14:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T08,14:46:00,14:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T08,14:49:00,14:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T08,14:50:00,14:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T09,15:30:00,15:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T09,15:31:00,15:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T09,15:32:00,15:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T09,15:33:00,15:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T09,15:34:00,15:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T09,15:35:00,15:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T09,15:36:00,15:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T09,15:37:00,15:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T09,15:37:00,15:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T09,15:39:00,15:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T09,15:42:00,15:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T09,15:42:00,15:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T09,15:45:00,15:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T09,15:46:00,15:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T09,15:49:00,15:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T09,15:50:00,15:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T10,16:30:00,16:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T10,16:31:00,16:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T10,16:32:00,16:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T10,16:33:00,16:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T10,16:34:00,16:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T10,16:35:00,16:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T10,16:36:00,16:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T10,16:37:00,16:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T10,16:37:00,16:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T10,16:39:00,16:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T10,16:42:00,16:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T10,16:42:00,16:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T10,16:45:00,16:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T10,16:46:00,16:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T10,16:49:00,16:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T10,16:50:00,16:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T11,17:30:00,17:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T11,17:31:00,17:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T11,17:32:00,17:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T11,17:33:00,17:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T11,17:34:00,17:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T11,17:35:00,17:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T11,17:36:00,17:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T11,17:37:00,17:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T11,17:37:00,17:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T11,17:39:00,17:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T11,17:42:00,17:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T11,17:42:00,17:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T11,17:45:00,17:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T11,17:46:00,17:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T11,17:49:00,17:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T11,17:50:00,17:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ob_T12,18:30:00,18:30:00,1,1,Uptown - E State - Holzer Clinic,,,0.006,1
2W-ob_T12,18:31:00,18:31:00,2,2,Uptown - E State - Holzer Clinic,,,0.173,1
2W-ob_T12,18:32:00,18:32:00,3,3,Uptown - E State - Holzer Clinic,,,0.496,1
2W-ob_T12,18:33:00,18:33:00,4,4,Uptown - E State - Holzer Clinic,,,0.681,1
2W-ob_T12,18:34:00,18:34:00,5,5,E State - Holzer Clinic,,,0.88,1
2W-ob_T12,18:35:00,18:35:00,6,6,E State - Holzer Clinic,,,1.226,1
2W-ob_T12,18:36:00,18:36:00,7,7,E State - Holzer Clinic,,,1.892,1
2W-ob_T12,18:37:00,18:37:00,8,8,E State - Holzer Clinic,,,2.226,1
2W-ob_T12,18:37:00,18:37:00,9,9,E State - Holzer Clinic,,,2.519,1
2W-ob_T12,18:39:00,18:39:00,10,10,E State - Holzer Clinic,,,3.375,1
2W-ob_T12,18:42:00,18:42:00,11,11,E State - Holzer Clinic,,,3.787,1
2W-ob_T12,18:42:00,18:42:00,12,12,E State - Holzer Clinic,,,4.008,1
2W-ob_T12,18:45:00,18:45:00,13,13,E State - Holzer Clinic,,,4.748,1
2W-ob_T12,18:46:00,18:46:00,14,14,E State - Holzer Clinic,,,5.295,1
2W-ob_T12,18:49:00,18:49:00,15,15,E State - Holzer Clinic,,,6.91,1
2W-ob_T12,18:50:00,18:50:00,16,16,E State - Holzer Clinic,,,8.274,1
2W-ib_T01,07:51:00,07:51:00,16,1,E State - Uptown - Ridges,,,0,1
2W-ib_T01,07:54:00,07:54:00,17,2,E State - Uptown - Ridges,,,1.409,1
2W-ib_T01,07:56:00,07:56:00,18,3,E State - Uptown - Ridges,,,2.704,1
2W-ib_T01,07:57:00,07:57:00,19,4,E State - Uptown - Ridges,,,3.143,1
2W-ib_T01,07:58:00,07:58:00,20,5,E State - Uptown - Ridges,,,3.521,1
2W-ib_T01,07:59:00,07:59:00,21,6,E State - Uptown - Ridges,,,3.89,1
2W-ib_T01,08:00:00,08:00:00,22,7,E State - Uptown - Ridges,,,4.189,1
2W-ib_T01,08:00:00,08:00:00,23,8,E State - Uptown - Ridges,,,4.488,1
2W-ib_T01,08:02:00,08:02:00,24,9,E State - Uptown - Ridges,,,5.213,1
2W-ib_T01,08:02:00,08:02:00,25,10,E State - Uptown - Ridges,,,5.467,1
2W-ib_T01,08:03:00,08:03:00,26,11,E State - Uptown - Ridges,,,5.869,1
2W-ib_T01,08:04:00,08:04:00,27,12,E State - Uptown - Ridges,,,6.476,1
2W-ib_T01,08:05:00,08:05:00,28,13,E State - Uptown - Ridges,,,6.971,1
2W-ib_T01,08:06:00,08:06:00,29,14,E State - Uptown - Ridges,,,7.167,1
2W-ib_T01,08:07:00,08:07:00,30,15,E State - Uptown - Ridges,,,7.392,1
2W-ib_T01,08:08:00,08:08:00,31,16,E State - Uptown - Ridges,,,7.647,1
2W-ib_T01,08:09:00,08:09:00,32,17,E State - Uptown - Ridges,,,7.967,1
2W-ib_T01,08:11:00,08:11:00,33,18,E State - Uptown - Ridges,,,8.693,1
2W-ib_T01,08:12:00,08:12:00,34,19,E State - Uptown - Ridges,,,9.213,1
2W-ib_T01,08:13:00,08:13:00,35,20,E State - Uptown - Ridges,,,9.694,1
2W-ib_T01,08:14:00,08:14:00,36,21,Uptown - E State - Holzer Clinic,,,10.224,1
2W-ib_T01,08:16:00,08:16:00,37,22,Uptown - E State - Holzer Clinic,,,12.074,1
2W-ib_T01,08:17:00,08:17:00,1,23,Uptown - E State - Holzer Clinic,,,12.466,1
2W-ib_T02,08:51:00,08:51:00,16,1,E State - Uptown - Ridges,,,0,1
2W-ib_T02,08:54:00,08:54:00,17,2,E State - Uptown - Ridges,,,1.409,1
2W-ib_T02,08:56:00,08:56:00,18,3,E State - Uptown - Ridges,,,2.704,1
2W-ib_T02,08:57:00,08:57:00,19,4,E State - Uptown - Ridges,,,3.143,1
2W-ib_T02,08:58:00,08:58:00,20,5,E State - Uptown - Ridges,,,3.521,1
2W-ib_T02,08:59:00,08:59:00,21,6,E State - Uptown - Ridges,,,3.89,1
2W-ib_T02,09:00:00,09:00:00,22,7,E State - Uptown - Ridges,,,4.189,1
2W-ib_T02,09:00:00,09:00:00,23,8,E State - Uptown - Ridges,,,4.488,1
2W-ib_T02,09:02:00,09:02:00,24,9,E State - Uptown - Ridges,,,5.213,1
2W-ib_T02,09:02:00,09:02:00,25,10,E State - Uptown - Ridges,,,5.467,1
2W-ib_T02,09:03:00,09:03:00,26,11,E State - Uptown - Ridges,,,5.869,1
2W-ib_T02,09:04:00,09:04:00,27,12,E State - Uptown - Ridges,,,6.476,1
2W-ib_T02,09:05:00,09:05:00,28,13,E State - Uptown - Ridges,,,6.971,1
2W-ib_T02,09:06:00,09:06:00,29,14,E State - Uptown - Ridges,,,7.167,1
2W-ib_T02,09:07:00,09:07:00,30,15,E State - Uptown - Ridges,,,7.392,1
2W-ib_T02,09:08:00,09:08:00,31,16,E State - Uptown - Ridges,,,7.647,1
2W-ib_T02,09:09:00,09:09:00,32,17,E State - Uptown - Ridges,,,7.967,1
2W-ib_T02,09:11:00,09:11:00,33,18,E State - Uptown - Ridges,,,8.693,1
2W-ib_T02,09:12:00,09:12:00,34,19,E State - Uptown - Ridges,,,9.213,1
2W-ib_T02,09:13:00,09:13:00,35,20,E State - Uptown - Ridges,,,9.694,1
2W-ib_T02,09:14:00,09:14:00,36,21,Uptown - E State - Holzer Clinic,,,10.224,1
2W-ib_T02,09:16:00,09:16:00,37,22,Uptown - E State - Holzer Clinic,,,12.074,1
2W-ib_T02,09:17:00,09:17:00,1,23,Uptown - E State - Holzer Clinic,,,12.466,1
2W-ib_T03,09:51:00,09:51:00,16,1,E State - Uptown - Ridges,,,0,1
2W-ib_T03,09:54:00,09:54:00,17,2,E State - Uptown - Ridges,,,1.409,1
2W-ib_T03,09:56:00,09:56:00,18,3,E State - Uptown - Ridges,,,2.704,1
2W-ib_T03,09:57:00,09:57:00,19,4,E State - Uptown - Ridges,,,3.143,1
2W-ib_T03,09:58:00,09:58:00,20,5,E State - Uptown - Ridges,,,3.521,1
2W-ib_T03,09:59:00,09:59:00,21,6,E State - Uptown - Ridges,,,3.89,1
2W-ib_T03,10:00:00,10:00:00,22,7,E State - Uptown - Ridges,,,4.189,1
2W-ib_T03,10:00:00,10:00:00,23,8,E State - Uptown - Ridges,,,4.488,1
2W-ib_T03,10:02:00,10:02:00,24,9,E State - Uptown - Ridges,,,5.213,1
2W-ib_T03,10:02:00,10:02:00,25,10,E State - Uptown - Ridges,,,5.467,1
2W-ib_T03,10:03:00,10:03:00,26,11,E State - Uptown - Ridges,,,5.869,1
2W-ib_T03,10:04:00,10:04:00,27,12,E State - Uptown - Ridges,,,6.476,1
2W-ib_T03,10:05:00,10:05:00,28,13,E State - Uptown - Ridges,,,6.971,1
2W-ib_T03,10:06:00,10:06:00,29,14,E State - Uptown - Ridges,,,7.167,1
2W-ib_T03,10:07:00,10:07:00,30,15,E State - Uptown - Ridges,,,7.392,1
2W-ib_T03,10:08:00,10:08:00,31,16,E State - Uptown - Ridges,,,7.647,1
2W-ib_T03,10:09:00,10:09:00,32,17,E State - Uptown - Ridges,,,7.967,1
2W-ib_T03,10:11:00,10:11:00,33,18,E State - Uptown - Ridges,,,8.693,1
2W-ib_T03,10:12:00,10:12:00,34,19,E State - Uptown - Ridges,,,9.213,1
2W-ib_T03,10:13:00,10:13:00,35,20,E State - Uptown - Ridges,,,9.694,1
2W-ib_T03,10:14:00,10:14:00,36,21,Uptown - E State - Holzer Clinic,,,10.224,1
2W-ib_T03,10:16:00,10:16:00,37,22,Uptown - E State - Holzer Clinic,,,12.074,1
2W-ib_T03,10:17:00,10:17:00,1,23,Uptown - E State - Holzer Clinic,,,12.466,1
2W-ib_T04,10:51:00,10:51:00,16,1,E State - Uptown - Ridges,,,0,1
2W-ib_T04,10:54:00,10:54:00,17,2,E State - Uptown - Ridges,,,1.409,1
2W-ib_T04,10:56:00,10:56:00,18,3,E State - Uptown - Ridges,,,2.704,1
2W-ib_T04,10:57:00,10:57:00,19,4,E State - Uptown - Ridges,,,3.143,1
2W-ib_T04,10:58:00,10:58:00,20,5,E State - Uptown - Ridges,,,3.521,1
2W-ib_T04,10:59:00,10:59:00,21,6,E State - Uptown - Ridges,,,3.89,1
2W-ib_T04,11:00:00,11:00:00,22,7,E State - Uptown - Ridges,,,4.189,1
2W-ib_T04,11:00:00,11:00:00,23,8,E State - Uptown - Ridges,,,4.488,1
2W-ib_T04,11:02:00,11:02:00,24,9,E State - Uptown - Ridges,,,5.213,1
2W-ib_T04,11:02:00,11:02:00,25,10,E State - Uptown - Ridges,,,5.467,1
2W-ib_T04,11:03:00,11:03:00,26,11,E State - Uptown - Ridges,,,5.869,1
2W-ib_T04,11:04:00,11:04:00,27,12,E State - Uptown - Ridges,,,6.476,1
2W-ib_T04,11:05:00,11:05:00,28,13,E State - Uptown - Ridges,,,6.971,1
2W-ib_T04,11:06:00,11:06:00,29,14,E State - Uptown - Ridges,,,7.167,1
2W-ib_T04,11:07:00,11:07:00,30,15,E State - Uptown - Ridges,,,7.392,1
2W-ib_T04,11:08:00,11:08:00,31,16,E State - Uptown - Ridges,,,7.647,1
2W-ib_T04,11:09:00,11:09:00,32,17,E State - Uptown - Ridges,,,7.967,1
2W-ib_T04,11:11:00,11:11:00,33,18,E State - Uptown - Ridges,,,8.693,1
2W-ib_T04,11:12:00,11:12:00,34,19,E State - Uptown - Ridges,,,9.213,1
2W-ib_T04,11:13:00,11:13:00,35,20,E State - Uptown - Ridges,,,9.694,1
2W-ib_T04,11:14:00,11:14:00,36,21,Uptown - E State - Holzer Clinic,,,10.224,1
2W-ib_T04,11:16:00,11:16:00,37,22,Uptown - E State - Holzer Clinic,,,12.074,1
2W-ib_T04,11:17:00,11:17:00,1,23,Uptown - E State - Holzer Clinic,,,12.466,1
2W-ib_T05,11:51:00,11:51:00,16,1,E State - Uptown - Ridges,,,0,1
2W-ib_T05,11:54:00,11:54:00,17,2,E State - Uptown - Ridges,,,1.409,1
2W-ib_T05,11:56:00,11:56:00,18,3,E State - Uptown - Ridges,,,2.704,1
2W-ib_T05,11:57:00,11:57:00,19,4,E State - Uptown - Ridges,,,3.143,1
2W-ib_T05,11:58:00,11:58:00,20,5,E State - Uptown - Ridges,,,3.521,1
2W-ib_T05,11:59:00,11:59:00,21,6,E State - Uptown - Ridges,,,3.89,1
2W-ib_T05,12:00:00,12:00:00,22,7,E State - Uptown - Ridges,,,4.189,1
2W-ib_T05,12:00:00,12:00:00,23,8,E State - Uptown - Ridges,,,4.488,1
2W-ib_T05,12:02:00,12:02:00,24,9,E State - Uptown - Ridges,,,5.213,1
2W-ib_T05,12:02:00,12:02:00,25,10,E State - Uptown - Ridges,,,5.467,1
2W-ib_T05,12:03:00,12:03:00,26,11,E State - Uptown - Ridges,,,5.869,1
2W-ib_T05,12:04:00,12:04:00,27,12,E State - Uptown - Ridges,,,6.476,1
2W-ib_T05,12:05:00,12:05:00,28,13,E State - Uptown - Ridges,,,6.971,1
2W-ib_T05,12:06:00,12:06:00,29,14,E State - Uptown - Ridges,,,7.167,1
2W-ib_T05,12:07:00,12:07:00,30,15,E State - Uptown - Ridges,,,7.392,1
2W-ib_T05,12:08:00,12:08:00,31,16,E State - Uptown - Ridges,,,7.647,1
