trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
ASPO1,21:25:00,21:25:00,ASPO893,1,Via Modena,0,0,
ASPO1,21:25:00,21:25:00,ASPO878,2,Via Modena V.Jesolo,0,0,
ASPO1,21:25:00,21:25:00,ASPO877,3,V.Modena fr. V.Parma,0,0,
ASPO1,21:26:00,21:26:00,ASPO876,4,Via Mestre Terminal,0,0,
ASPO1,21:26:00,21:26:00,ASPO875,5,Via Roma fr. Cimitero,0,0,
ASPO1,21:28:00,21:28:00,ASPO873,6,Via Roma fr. Market,0,0,
ASPO1,21:28:00,21:28:00,ASPO872,7,Via Roma S.Famiglia,0,0,
ASPO1,21:29:00,21:29:00,ASPO871,8,Roma case Popolari,0,0,
ASPO1,21:29:00,21:29:00,ASPO870,9,Via Roma manconi,0,0,
ASPO1,21:30:00,21:30:00,ASPO158,10,Mameli fr.Casermette,0,0,
ASPO1,21:30:00,21:30:00,ASPO157,11,Via Mameli 1,0,0,
ASPO1,21:31:00,21:31:00,ASPO156,12,Via San Simplicio 6,0,0,
ASPO1,21:31:00,21:31:00,ASPO155,13,Necropoli S.Simplicio,0,0,
ASPO1,21:32:00,21:32:00,ASPO154,14,D'Annunzio FS,0,0,
ASPO1,21:32:00,21:32:00,ASPO153,15,D'Annunzio fr.CC,0,0,
ASPO1,21:33:00,21:33:00,ASPO152,16,Centro Martini,0,0,
ASPO1,21:34:00,21:34:00,ASPO151,17,Sa Marinedda,0,0,
ASPO100,21:10:00,21:10:00,ASPO391,1,V.le A.Moro 511,0,0,
ASPO100,21:10:00,21:10:00,ASPO364,2,A.Moro fr. V.Cairo,0,0,
ASPO100,21:11:00,21:11:00,ASPO363,3,A.Moro Minda Noa,0,0,
ASPO100,21:11:00,21:11:00,ASPO362,4,V.le A.Moro 409,0,0,
ASPO100,21:12:00,21:12:00,ASPO361,5,A.Moro fr.popolari,0,0,
ASPO100,21:12:00,21:12:00,ASPO360,6,V.le A.Moro fr.ENI,0,0,
ASPO100,21:13:00,21:13:00,ASPO359,7,A.Moro Romagnolo,0,0,
ASPO100,21:13:00,21:13:00,ASPO358,8,V.le A.Moro fr.252,0,0,
ASPO100,21:14:00,21:14:00,ASPO357,9,V.le A.Moro 245,0,0,
ASPO100,21:14:00,21:14:00,ASPO356,10,V.le A.Moro 227,0,0,
ASPO100,21:15:00,21:15:00,ASPO355,11,A.Moro 181 bartolo,0,0,
ASPO100,21:16:00,21:16:00,ASPO354,12,V.le A.Moro 137,0,0,
ASPO100,21:17:00,21:17:00,ASPO353,13,V.le A.Moro 87,0,0,
ASPO100,21:17:00,21:17:00,ASPO352,14,Basa,0,0,
ASPO101,20:30:00,20:30:00,ASPO391,1,V.le A.Moro 511,0,0,
ASPO101,20:30:00,20:30:00,ASPO364,2,A.Moro fr. V.Cairo,0,0,
ASPO101,20:30:00,20:30:00,ASPO363,3,A.Moro Minda Noa,0,0,
ASPO101,20:31:00,20:31:00,ASPO362,4,V.le A.Moro 409,0,0,
ASPO101,20:31:00,20:31:00,ASPO361,5,A.Moro fr.popolari,0,0,
ASPO101,20:32:00,20:32:00,ASPO360,6,V.le A.Moro fr.ENI,0,0,
ASPO101,20:32:00,20:32:00,ASPO359,7,A.Moro Romagnolo,0,0,
ASPO101,20:33:00,20:33:00,ASPO358,8,V.le A.Moro fr.252,0,0,
ASPO101,20:33:00,20:33:00,ASPO357,9,V.le A.Moro 245,0,0,
ASPO101,20:34:00,20:34:00,ASPO356,10,V.le A.Moro 227,0,0,
ASPO101,20:35:00,20:35:00,ASPO355,11,A.Moro 181 bartolo,0,0,
ASPO101,20:35:00,20:35:00,ASPO354,12,V.le A.Moro 137,0,0,
ASPO101,20:36:00,20:36:00,ASPO353,13,V.le A.Moro 87,0,0,
ASPO101,20:36:00,20:36:00,ASPO352,14,A.Moro fr.Ospedale,0,0,
ASPO101,20:37:00,20:37:00,ASPO351,15,Centro Martini,0,0,
ASPO101,20:38:00,20:38:00,ASPO101,16,D'Annunzio CC,0,0,
ASPO101,20:38:00,20:38:00,ASPO102,17,D'Annunzio fr.FS,0,0,
ASPO101,20:39:00,20:39:00,ASPO103,18,Necropoli S.Simplicio,0,0,
ASPO101,20:40:00,20:40:00,ASPO104,19,Via Brigata Sassari,0,0,
ASPO101,20:40:00,20:40:00,ASPO601,20,Barcellona V.Rossini,0,0,
ASPO101,20:41:00,20:41:00,ASPO602,21,Barcellona Porpora,0,0,
ASPO101,20:41:00,20:41:00,ASPO605,22,Barcellona fr.Nassiria,0,0,
ASPO101,20:42:00,20:42:00,ASPO606,23,Via Barcellona V.Caro,0,0,
ASPO101,20:42:00,20:42:00,ASPO607,24,Via De Sanctis,0,0,
ASPO101,20:43:00,20:43:00,ASPO608,25,Via Correggio V.Corelli,0,0,
ASPO101,20:43:00,20:43:00,ASPO609,26,Via Correggio Gregorio,0,0,
ASPO101,20:44:00,20:44:00,ASPO610,27,Via Vesuvio,0,0,
ASPO101,20:44:00,20:44:00,ASPO611,28,V.Vitt. Veneto fr.ENI,0,0,
ASPO101,20:45:00,20:45:00,ASPO612,29,V.Vitt. Veneto V.Emilia,0,0,
ASPO101,20:46:00,20:46:00,ASPO613,30,V.Vitt. Veneto A.Adige,0,0,
ASPO101,20:46:00,20:46:00,ASPO614,31,Vitt. Veneto Campania,0,0,
ASPO101,20:47:00,20:47:00,ASPO615,32,V.Vitt. Veneto fr.V.Toti,0,0,
ASPO101,20:47:00,20:47:00,ASPO616,33,V.Vitt. Veneto fr.V.Diaz,0,0,
ASPO101,20:48:00,20:48:00,ASPO617,34,Mameli 6,0,0,
ASPO101,20:48:00,20:48:00,ASPO106,35,Mameli Casermette,0,0,
ASPO101,20:49:00,20:49:00,ASPO107,36,Via Roma,0,0,
ASPO101,20:49:00,20:49:00,ASPO108,37,Via Roma p.zzo Pinna,0,0,
ASPO101,20:50:00,20:50:00,ASPO820,38,Via Lituania Pescheria,0,0,
ASPO101,20:51:00,20:51:00,ASPO816,39,Via Imperia,0,0,
ASPO101,20:51:00,20:51:00,ASPO817,40,Via Imperia,0,0,
ASPO101,20:52:00,20:52:00,ASPO818,41,Via Vicenza SISA,0,0,
ASPO101,20:52:00,20:52:00,ASPO813,42,Via Vicenza V.Asti,0,0,
ASPO101,20:52:00,20:52:00,ASPO814,43,Via Venafiorita ex trib.,0,0,
ASPO101,20:53:00,20:53:00,ASPO815,44,Via Mestre,0,0,
ASPO101,20:54:00,20:54:00,ASPO825,45,Via Modena V.Parma,0,0,
ASPO101,20:55:00,20:55:00,ASPO826,46,Via Modena fr. Jesolo,0,0,
ASPO101,20:55:00,20:55:00,ASPO827,47,Via Modena,0,0,
ASPO101,20:56:00,20:56:00,ASPO828,48,Sa Marinedda,0,0,
ASPO101,20:56:00,20:56:00,ASPO893,49,Basa,0,0,
ASPO1018,15:15:00,15:15:00,ASPO892,1,Via Venafiorita cimitero,0,0,
ASPO1018,15:16:00,15:16:00,ASPO865,2,V.Venafiorita fr. ex trib.,0,0,
ASPO1018,15:17:00,15:17:00,ASPO864,3,Via Vicenza fr. Market,0,0,
ASPO1018,15:18:00,15:18:00,ASPO863,4,V.Vicenza fr. tecnico,0,0,
