route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
19627,Centro,Aub 1,West Genesee,,3,,38A848,FFFFFF
19628,Centro,Aub 2,Franklin,,3,,3C62AE,FFFFFF
19629,Centro,Aub 3,North Street,,3,,7E3092,FFFFFF
19630,Centro,Aub 4,State Street,,3,,D98C27,FFFFFF
19631,Centro,Aub 6,Wegmans Shoppers,,3,,00FF00,FFFFFF
19632,Centro,Aub38,Auburn - Syracuse via Elbridge,,3,,CD8ABB,FFFFFF
19660,Centro,Ful 4,Fulton - East,,3,,38A848,FFFFFF
19661,Centro,Ful 5,Fulton - West,,3,,ED2224,FFFFFF
19662,Centro,Mex 3,Mexico - Fulton,,3,,D98C27,FFFFFF
19663,Centro,Osw09,Price Chopper Shopper,,3,,00FF00,FFFFFF
19664,Centro,Osw10,SUNY Oswego Blue Route,,3,,82D3F2,000000
19665,Centro,Osw11,SUNY Oswego Green Route,,3,,8AC767,FFFFFF
19666,Centro,Osw1A,Walmart via 104,,3,,E0C94A,000000
19667,Centro,Osw1B,Walmart - Hamilton Homes,,3,,38A848,FFFFFF
19668,Centro,Osw1C,Walmart via Seneca Street,,3,,8AC767,FFFFFF
19669,Centro,Osw1D,Walmart via Brandonwood,,3,,82D3F2,000000
19670,Centro,Osw2A,College via 104,,3,,E0C94A,000000
19671,Centro,Osw2C,College via West Utica,,3,,7E3092,FFFFFF
19672,Centro,Osw2D,College via Ellen St,,3,,3C62AE,FFFFFF
19673,Centro,Osw46,Oswego - Syracuse,,3,,E0C94A,000000
19677,Centro,Rome2,WalMart,,3,,ED2224,FFFFFF
19678,Centro,Rome4,Turin St.,,3,,7E3092,FFFFFF
19679,Centro,Rome5,Price Chopper,,3,,38A848,FFFFFF
19680,Centro,Rome6,Griffiss,,3,,D98C27,FFFFFF
19681,Centro,Rome7,Bloomfield,,3,,3C62AE,FFFFFF
19682,Centro,Rome9,Rome Hospital,,3,,CD8ABB,FFFFFF
19683,Centro,SU 43,Waverly Ave,,3,,D98C27,FFFFFF
19684,Centro,SU 44,Skytop Rd,,3,,D98C27,FFFFFF
19685,Centro,SU 45,SU - Destiny USA,,3,,D98C27,FFFFFF
19686,Centro,SU243,East Campus,,3,,D98C27,FFFFFF
