stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
17,17,Thurber St & Alden St,,43.018504,-76.133335,,,,,,0
22,22,Thompson Rd & Springfield Rd,SPRINGFIELD RD,43.05166,-76.080436,,,,,,0
28,28,Bishop Grimes,,43.077158,-76.06072,,,,,,0
47,47,Regional Transportation Center,,43.076641,-76.169373,,,,,,0
50,50,Loretto Rest,,43.004997,-76.135725,,,,,,0
51,51,Nob Hill Apts Building #4,,42.996453,-76.130449,,,,,,0
53,53,Glenwood Ave & Strathmore Dr,,43.019482,-76.173644,,,,,,0
99,99,S Salina St & Washington St,,43.049709,-76.152238,,,,,,0
100,100,Washington St & S Salina St,,43.049583,-76.152448,,,,,,0
102,102,S Salina St & Jefferson St,S SALINA ST & E JEFFERSON ST,43.047059,-76.152205,,,,,,0
110,110,S Salina St & Temple St,S SALINA ST & TEMPLE ST,43.0408,-76.150757,,,,,,0
116,116,S Salina St & E Taylor St,S SALINA ST & E TAYLOR ST,43.039564,-76.150364,,,,,,0
121,121,S Salina St & W Taylor St,S SALINA ST & W TAYLOR ST,43.039098,-76.150155,,,,,,0
123,123,E Taylor St & S Salina St,,43.039466,-76.150192,,,,,,0
128,128,S Salina St & Tallman St,S SALINA ST & TALLMAN ST,43.036189,-76.149629,,,,,,0
134,134,S Salina St & E Raynor Ave,S SALINA ST & E RAYNOR AVE,43.035365,-76.149432,,,,,,0
135,135,S Salina St & E Raynor Ave,S SALINA ST & E RAYNOR AVE,43.035535,-76.149519,,,,,,0
139,139,S Salina St & Furman St,S SALINA ST & FURMAN ST,43.031908,-76.148327,,,,,,0
140,140,S Salina St & Dr Martin Luther King W,S SALINA ST & W CASTLE ST,43.033108,-76.148893,,,,,,0
144,144,S Salina St & Furman St,,43.031864,-76.148241,,,,,,0
145,145,S Salina St & McLennan Ave,S SALINA ST & MCLENNAN AVE,43.028819,-76.146851,,,,,,0
147,147,S Salina St & E Kennedy St,S SALINA ST & E KENNEDY ST,43.030458,-76.147589,,,,,,0
148,148,S Salina St & Kirk Ave,,43.029652,-76.147195,,,,,,0
149,149,S Salina St & W Kennedy St,S SALINA ST & W KENNEDY ST,43.030771,-76.147773,,,,,,0
153,153,S Salina St & Kirk Ave,S SALINA ST & KIRK AVE,43.029705,-76.147269,,,,,,0
156,156,S Salina St & McLennan Ave,,43.028774,-76.146777,,,,,,0
159,159,S Salina St & E Borden Ave,S SALINA ST & E BORDEN AVE,43.027923,-76.146384,,,,,,0
166,166,S Salina St & W Borden Ave,S SALINA ST & W BORDEN AVE,43.028067,-76.146507,,,,,,0
174,174,N Salina St & W Genesee St,,43.051401,-76.152211,,,,,,0
175,175,N Salina St & E Willow St,,43.052269,-76.152124,,,,,,0
178,178,N Salina St & E Willow St,,43.052484,-76.152197,,,,,,0
179,179,N Salina St & Herald Pl,,43.05337,-76.152171,,,,,,0
180,180,E Willow St & N Salina St,,43.052394,-76.151975,,,,,,0
183,183,N Salina St & Pearl St,,43.055823,-76.152143,,,,,,0
184,184,N Salina St & Herald Pl,,43.053236,-76.15211,,,,,,0
186,186,N Salina St & E Laurel St,,43.055993,-76.152044,,,,,,0
187,187,N Salina St & Butternut St,,43.057748,-76.152067,,,,,,0
198,198,N Salina St & Ash St,,43.059234,-76.152028,,,,,,0
201,201,N Salina St & E Division St,,43.060649,-76.153272,,,,,,0
202,202,N Salina St & E Division St,,43.060488,-76.15305,,,,,,0
204,204,N Salina St & Catawba St,,43.061671,-76.15395,,,,,,0
205,205,N Salina St & Catawba St,,43.061913,-76.154332,,,,,,0
206,206,Catawba St & N Salina St,,43.06168,-76.154159,,,,,,0
