trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
320.2.1-2,12:20:00,12:20:00,4725,1,0
320.2.1-2,12:21:00,12:22:00,3121,2,0
320.2.1-2,12:24:00,12:25:00,3535,3,0
320.2.1-2,12:55:00,12:56:00,5172,4,0
320.2.1-2,12:59:00,12:59:00,3031,5,0
320.2.1-5,07:20:00,07:20:00,4725,1,0
320.2.1-5,07:21:00,07:22:00,3121,2,0
320.2.1-5,07:24:00,07:25:00,3535,3,0
320.2.1-5,07:55:00,07:56:00,5172,4,0
320.2.1-5,07:59:00,07:59:00,3031,5,0
320.2.1-0,15:50:00,15:50:00,4725,1,0
320.2.1-0,15:51:00,15:52:00,3121,2,0
320.2.1-0,15:54:00,15:55:00,3535,3,0
320.2.1-0,16:25:00,16:26:00,5172,4,0
320.2.1-0,16:29:00,16:29:00,3031,5,0
320.2.1-1,18:20:00,18:20:00,4725,1,0
320.2.1-1,18:21:00,18:22:00,3121,2,0
320.2.1-1,18:24:00,18:25:00,3535,3,0
320.2.1-1,18:55:00,18:56:00,5172,4,0
320.2.1-1,18:59:00,18:59:00,3031,5,0
320.2.1-3,16:30:00,16:30:00,4725,1,0
320.2.1-3,16:31:00,16:32:00,3121,2,0
320.2.1-3,16:34:00,16:35:00,3535,3,0
320.2.1-3,17:05:00,17:06:00,5172,4,0
320.2.1-3,17:09:00,17:09:00,3031,5,0
320.2.1-4,06:40:00,06:40:00,4725,1,0
320.2.1-4,06:41:00,06:42:00,3121,2,0
320.2.1-4,06:44:00,06:45:00,3535,3,0
320.2.1-4,07:15:00,07:16:00,5172,4,0
320.2.1-4,07:19:00,07:19:00,3031,5,0
320.2.1-6,10:40:00,10:40:00,4725,1,0
320.2.1-6,10:41:00,10:42:00,3121,2,0
320.2.1-6,10:44:00,10:45:00,3535,3,0
320.2.1-6,11:15:00,11:16:00,5172,4,0
320.2.1-6,11:19:00,11:19:00,3031,5,0
320.3.1-1,14:40:00,14:40:00,3031,1,0
320.3.1-1,14:42:00,14:43:00,4165,2,0
320.3.1-1,15:12:00,15:12:00,3536,3,0
320.3.1-1,15:13:00,15:14:00,3122,4,0
320.3.1-1,15:16:00,15:16:00,4725,5,0
320.3.1-0,20:40:00,20:40:00,3031,1,0
320.3.1-0,20:42:00,20:43:00,4165,2,0
320.3.1-0,21:12:00,21:12:00,3536,3,0
320.3.1-0,21:13:00,21:14:00,3122,4,0
320.3.1-0,21:16:00,21:16:00,4725,5,0
320.3.1-2,15:40:00,15:40:00,3031,1,0
320.3.1-2,15:42:00,15:43:00,4165,2,0
320.3.1-2,16:12:00,16:12:00,3536,3,0
320.3.1-2,16:13:00,16:14:00,3122,4,0
320.3.1-2,16:16:00,16:16:00,4725,5,0
320.4.1-6,21:35:00,21:35:00,3031,1,0
320.4.1-6,22:06:00,22:07:00,3536,2,0
320.4.1-6,22:08:00,22:09:00,3122,3,0
320.4.1-6,22:11:00,22:11:00,4725,4,0
320.4.1-0,07:40:00,07:40:00,3031,1,0
320.4.1-0,08:11:00,08:12:00,3536,2,0
320.4.1-0,08:13:00,08:14:00,3122,3,0
320.4.1-0,08:16:00,08:16:00,4725,4,0
320.4.1-1,09:40:00,09:40:00,3031,1,0
320.4.1-1,10:11:00,10:12:00,3536,2,0
320.4.1-1,10:13:00,10:14:00,3122,3,0
320.4.1-1,10:16:00,10:16:00,4725,4,0
320.4.1-4,16:40:00,16:40:00,3031,1,0
320.4.1-4,17:11:00,17:12:00,3536,2,0
320.4.1-4,17:13:00,17:14:00,3122,3,0
320.4.1-4,17:16:00,17:16:00,4725,4,0
320.4.1-5,21:35:00,21:35:00,3031,1,0
