route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,mtwtf,2W-ob_T01,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T02,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T03,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T04,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T05,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T06,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T07,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T08,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T09,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T10,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T11,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ob_T12,Holzer Clinic,,0,,L2-OB-Shape,,
2,mtwtf,2W-ib_T01,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T02,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T03,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T04,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T05,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T06,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T07,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T08,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T09,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T10,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T11,The Ridges,,1,,L2-IB-Shape,,
2,mtwtf,2W-ib_T12,The Ridges,,1,,L2-IB-Shape,,
2,sat,2S-ob_T01,Holzer Clinic,,0,,L2-OB-Shape,,
2,sat,2S-ob_T02,Holzer Clinic,,0,,L2-OB-Shape,,
2,sat,2S-ob_T03,Holzer Clinic,,0,,L2-OB-Shape,,
2,sat,2S-ob_T04,Holzer Clinic,,0,,L2-OB-Shape,,
2,sat,2S-ob_T05,Holzer Clinic,,0,,L2-OB-Shape,,
2,sat,2S-ob_T06,Holzer Clinic,,0,,L2-OB-Shape,,
2,sat,2S-ob_T07,Holzer Clinic,,0,,L2-OB-Shape,,
2,sat,2S-ob_T08,Holzer Clinic,,0,,L2-OB-Shape,,
2,sat,2S-ib_T01,The Ridges,,1,,L2-IB-Shape,,
2,sat,2S-ib_T02,The Ridges,,1,,L2-IB-Shape,,
2,sat,2S-ib_T03,The Ridges,,1,,L2-IB-Shape,,
2,sat,2S-ib_T04,The Ridges,,1,,L2-IB-Shape,,
2,sat,2S-ib_T05,The Ridges,,1,,L2-IB-Shape,,
2,sat,2S-ib_T06,The Ridges,,1,,L2-IB-Shape,,
2,sat,2S-ib_T07,The Ridges,,1,,L2-IB-Shape,,
2,sat,2S-ib_T08,The Ridges,,1,,L2-IB-Shape,,
3,mtwtf,3W-ob_T01,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T02,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T03,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T04,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T05,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T06,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T07,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T08,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T09,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T10,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T11,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T12,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T13,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T14,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T15,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ob_T16,Market on State,,0,,L3-OB-Shape,,
3,mtwtf,3W-ib_T01,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T02,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T03,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T04,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T05,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T06,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T07,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T08,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T09,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T10,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T11,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T12,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T13,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T14,Andover Road,,1,,L3-IB-Shape,,
3,mtwtf,3W-ib_T15,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ob_T01,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T02,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T03,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T04,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T05,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T06,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T07,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T08,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T09,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T10,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T11,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T12,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T13,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T14,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T15,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ob_T16,Market on State,,0,,L3-OB-Shape,,
3,sat,3S-ib_T01,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T02,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T03,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T04,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T05,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T06,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T07,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T08,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T09,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T10,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T11,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T12,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T13,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T14,Andover Road,,1,,L3-IB-Shape,,
3,sat,3S-ib_T15,Andover Road,,1,,L3-IB-Shape,,
4,mtwtf,4W-ob_T01,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T02,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T03,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T04,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T05,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T06,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T07,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T08,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T09,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T10,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T11,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T12,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T13,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T14,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ob_T15,Market on State,,0,,L4-OB-Shape,,
4,mtwtf,4W-ib_T01,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T02,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T03,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T04,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T05,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T06,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T07,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T08,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T09,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T10,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T11,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T12,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T13,Clarke Street,,1,,L4-IB-Shape,,
4,mtwtf,4W-ib_T14,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ob_T01,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T02,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T03,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T04,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T05,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T06,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T07,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T08,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T09,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T10,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T11,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T12,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T13,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T14,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ob_T15,Market on State,,0,,L4-OB-Shape,,
4,sat,4S-ib_T01,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T02,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T03,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T04,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T05,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T06,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T07,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T08,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T09,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T10,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T11,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T12,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T13,Clarke Street,,1,,L4-IB-Shape,,
4,sat,4S-ib_T14,Clarke Street,,1,,L4-IB-Shape,,
5,mtwtf,5Wa_T01,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ob_T01,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T02,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T03,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T04,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T05,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T06,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T07,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T08,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T09,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T10,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T11,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ob_T12,The Plains,,0,,L5-OB-Shape,,
5,mtwtf,5W-ib_T01,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T02,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T03,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T04,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T05,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T06,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T07,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T08,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T09,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T10,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T11,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5W-ib_T12,Baker Center,,1,,L5-IB-Shape,,
5,mtwtf,5Sa_T01,Baker Center,,1,,L5-IB-Shape,,
5,sat,5S-ob_T01,The Plains,,0,,L5-OB-Shape,,
5,sat,5S-ob_T02,The Plains,,0,,L5-OB-Shape,,
5,sat,5S-ob_T03,The Plains,,0,,L5-OB-Shape,,
5,sat,5S-ob_T04,The Plains,,0,,L5-OB-Shape,,
5,sat,5S-ob_T05,The Plains,,0,,L5-OB-Shape,,
5,sat,5S-ob_T06,The Plains,,0,,L5-OB-Shape,,
5,sat,5S-ob_T07,The Plains,,0,,L5-OB-Shape,,
5,sat,5S-ob_T08,The Plains,,0,,L5-OB-Shape,,
5,sat,5S-ib_T01,Baker Center,,1,,L5-IB-Shape,,
5,sat,5S-ib_T02,Baker Center,,1,,L5-IB-Shape,,
5,sat,5S-ib_T03,Baker Center,,1,,L5-IB-Shape,,
5,sat,5S-ib_T04,Baker Center,,1,,L5-IB-Shape,,
5,sat,5S-ib_T05,Baker Center,,1,,L5-IB-Shape,,
5,sat,5S-ib_T06,Baker Center,,1,,L5-IB-Shape,,
5,sat,5S-ib_T07,Baker Center,,1,,L5-IB-Shape,,
5,sat,5S-ib_T08,Baker Center,,1,,L5-IB-Shape,,
6,mtwtf,6Wa_T01,Baker Center,,1,,L5-IB-Shape,,
